subregion,seat,population,area
alcona,Harrisville,10942,1791
alger,Munising,9601,5049
allegan,Allegan,111408,1833
alpena,Alpena,29598,1695
antrim,Bellaire,23598,602
arenac,Standish,15899,681
baraga,L'Anse,8860,1069
barry,Hastings,59173,577
bay,Bay City,107771,631
benzie,Beulah,17525,860
berrien,St. Joseph,156813,1581
branch,Coldwater,45248,519
calhoun,Marshall,136146,718
cass,Cassopolis,52293,508
charlevoix,Charlevoix,25949,1391
cheboygan,Cheboygan,26152,885
chippewa,Sault Ste. Marie,38520,2698
clare,Harrison,30926,575
clinton,St. Johns,75382,575
crawford,Grayling,14074,563
delta,Escanaba,37069,1992
dickinson,Iron Mountain,26168,777
eaton,Charlotte,107759,579
emmet,Petoskey,32694,882
genesee,Flint,425790,649
gladwin,Gladwin,25692,516
gogebic,Bessemer,16427,1476
grand traverse,Traverse City,86986,601
gratiot,Ithaca,42476,572
hillsdale,Hillsdale,46688,607
houghton,Houghton,36628,1502
huron,Bad Axe,33118,2136
ingham,Mason,280895,561
ionia,Ionia,63905,580
iosco,Tawas City,25887,1891
iron,Crystal Falls,11817,1211
isabella,Mt. Pleasant,70311,578
jackson,Jackson,160248,724
kalamazoo,Kalamazoo,250331,580
kalkaska,Kalkaska,17153,571
kent,Grand Rapids,602622,872
keweenaw,Eagle River,2156,5966
lake,Baldwin,11539,575
lapeer,Lapeer,88319,663
leelanau,Suttons Bay Township,21708,2532
lenawee,Adrian,99892,761
livingston,Howell,180967,585
luce,Newberry,6631,1912
mackinac,St. Ignace,11113,2101
macomb,Mt. Clemens,840978,570
manistee,Manistee,24733,1281
marquette,Marquette,67077,3425
mason,Ludington,28705,1242
mecosta,Big Rapids,42798,571
menominee,Menominee,24029,1338
midland,Midland,83629,528
missaukee,Lake City,14849,574
monroe,Monroe,152021,680
montcalm,Stanton,63342,721
montmorency,Atlanta,9765,562
muskegon,Muskegon,172188,1459
newaygo,White Cloud,48460,861
oakland,Pontiac,1202362,908
oceana,Hart,26570,1307
ogemaw,West Branch,21699,575
ontonagon,Ontonagon,6780,3741
osceola,Reed City,23528,573
oscoda,Mio,8640,572
otsego,Gaylord,24164,526
ottawa,Grand Haven,263801,1632
presque isle,Rogers City,13376,2573
roscommon,Roscommon,24449,580
saginaw,Saginaw,200169,816
st clair,Port Huron,163040,837
st joseph,Centreville,61295,521
sanilac,Sandusky,43114,1590
schoolcraft,Manistique,8485,1884
shiawassee,Corunna,70648,541
tuscola,Caro,55729,914
van buren,Paw Paw,76258,1090
washtenaw,Ann Arbor,344791,723
wayne,Detroit,1820584,672
wexford,Cadillac,32735,576
